ref;Nombre de réponses;Nom;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;SECTION;CLASSE
18;2;NOM & PRENOM 18;2,50;1,50;1,50;1,50;1,50;2,00;1,00;0,50;1,50;1,50;1,50;2,00;2,00;2,50;1,50;1,50;BTS;BTS COM 1A
19;4;NOM & PRENOM 19;3,00;3,00;3,00;3,00;1,50;3,00;3,00;2,75;3,00;2,50;2,75;2,75;2,50;3,00;3,00;2,75;BTS;BTS NDRC 1A
20;1;NOM & PRENOM 20;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;2,00;2,00;2,00;2,00;BTS;BTS COM 1A
21;16;NOM & PRENOM 21;2,56;2,13;2,31;2,44;2,50;2,19;2,25;2,38;1,94;2,13;1,81;2,31;2,50;2,31;2,56;2,31;BTS;BTS MCO 1A
22;22;NOM & PRENOM 22;2,82;2,64;2,45;2,50;2,77;2,27;2,59;2,50;2,64;2,73;2,41;2,59;2,73;2,50;2,73;2,68;BACHELOR;BACHELOR CR A
23;13;NOM & PRENOM 23;3,00;2,92;3,00;2,92;3,00;2,92;2,92;2,69;2,92;2,92;2,85;3,00;2,92;3,00;3,00;2,92;BACHELOR;BACHELOR CR B
24;3;NOM & PRENOM 24;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,67;3,00;3,00;2,67;3,00;3,00;3,00;3,00;3,00;BACHELOR;BACHELOR RH
25;1;NOM & PRENOM 25;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;BACHELOR;BACHELOR RH
26;1;NOM & PRENOM 26;3,00;3,00;1,00;2,00;3,00;2,00;2,00;1,00;2,00;1,00;3,00;3,00;2,00;2,00;2,00;2,00;BACHELOR;BACHELOR CR A
27;4;NOM & PRENOM 27;2,75;2,00;1,75;1,50;2,75;1,75;2,00;2,50;2,00;1,25;2,50;2,75;2,25;2,50;3,00;1,50;BACHELOR;BACHELOR RH
28;2;NOM & PRENOM 28;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;BACHELOR;BACHELOR RH
29;2;NOM & PRENOM 29;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;BACHELOR;BACHELOR RDC
